n,ID,ID_next,length,area,lake,endorheic,S_0,S_max,Coeff,power,lake_type,slope,target_vol,lake_type_for_target_vol
151,3014445,3023436.0,42819.666613927286,515761235.7605587,0.0,0.0,1000000.0,2579806178.8027935,0.01,1.5,0.0,0.0001,0.0,0.0
152,3014540,3040903.0,37482.02011388655,515438017.7712599,0.0,0.0,1000000.0,2578190088.8562994,0.01,1.5,0.0,0.0001,0.0,0.0
153,3014653,3040477.0,6771.526167001067,519256670.45028377,0.0,0.0,1000000.0,2597283352.251419,0.01,1.5,0.0,0.0001,0.0,0.0
154,3014726,3036701.0,21351.36564351833,523452508.6170561,0.0,0.0,1000000.0,2618262543.0852804,0.01,1.5,0.0,0.0001,0.0,0.0
155,3014743,7007337.0,23189.83843340797,524357833.4797987,0.0,0.0,1000000.0,2622789167.3989935,0.01,1.5,0.0,0.0001,0.0,0.0
156,3014938,3029340.0,56534.197272737074,533198369.80517936,0.0,0.0,1000000.0,2666991849.025897,0.01,1.5,0.0,0.0001,0.0,0.0
157,3014947,3039897.0,44404.588978127045,526231145.0147177,0.0,0.0,1000000.0,2632155725.0735884,0.01,1.5,0.0,0.0001,0.0,0.0
158,3014974,7000700.0,28622.119132497548,505518809.7709644,0.0,0.0,1000000.0,2528594048.854822,0.01,1.5,0.0,0.0001,0.0,0.0
159,3015077,3030969.0,49041.89706876512,537721347.8929564,0.0,0.0,1000000.0,2689606739.4647818,0.01,1.5,0.0,0.0001,0.0,0.0
160,3015124,3026314.0,38505.23029894252,537945164.8294724,0.0,0.0,1000000.0,2690725824.147362,0.01,1.5,0.0,0.0001,0.0,0.0
161,3015403,3033406.0,33465.29712857817,541075773.5093726,0.0,0.0,1000000.0,2706378867.546863,0.01,1.5,0.0,0.0001,0.0,0.0
162,3015545,3025025.0,46503.135556958114,549482851.0677422,0.0,0.0,1000000.0,2748414255.3387113,0.01,1.5,0.0,0.0001,0.0,0.0
163,3015637,3039841.0,30678.20770868694,557085463.5122755,0.0,0.0,1000000.0,2786427317.5613775,0.01,1.5,0.0,0.0001,0.0,0.0
164,3015777,3030421.0,21014.98948634739,553949172.9925166,0.0,0.0,1000000.0,2770745864.962583,0.01,1.5,0.0,0.0001,0.0,0.0
165,3016377,3044016.0,40088.78576978247,582714950.4326801,0.0,0.0,1000000.0,2914574752.1634007,0.01,1.5,0.0,0.0001,0.0,0.0
166,3016662,7007230.0,18392.25106138655,583195800.7203883,0.0,0.0,1000000.0,2916979003.6019416,0.01,1.5,0.0,0.0001,0.0,0.0
